inspection_id,date,technician,customer,unit_number,plate,vin,odometer,axle_config,position,brand,model,size,dot_code,depth_inner_32nds,depth_centre_32nds,depth_outer_32nds,depth_min_32nds,depth_min_mm,pressure_psi,status,method,photo_url,notes,scan_confidence_32nds
20260908-1432-AB12,2026-09-08T14:32:00,M. Francis,Acme Freight,42,ABC 123,1FUJGLDR5CSBB1234,512000,TRACTOR_3A,LF,Michelin,XZE2,11R22.5,DOT B9 4K 2325,3.0,4.0,3.0,3.0,2.38,105,REPLACE,gauge,,,
20260908-1432-AB12,2026-09-08T14:32:00,M. Francis,Acme Freight,42,ABC 123,1FUJGLDR5CSBB1234,512000,TRACTOR_3A,RF,Michelin,XZE2,11R22.5,DOT B9 4K 2325,7.0,7.0,8.0,7.0,5.56,105,OK,gauge,,,
20260908-1432-AB12,2026-09-08T14:32:00,M. Francis,Acme Freight,42,ABC 123,1FUJGLDR5CSBB1234,512000,TRACTOR_3A,L2O,Michelin,XZE2,11R22.5,DOT B9 4K 2325,9.0,9.0,10.0,9.0,7.14,105,OK,gauge,,,
20260908-1432-AB12,2026-09-08T14:32:00,M. Francis,Acme Freight,42,ABC 123,1FUJGLDR5CSBB1234,512000,TRACTOR_3A,L2I,Michelin,XZE2,11R22.5,DOT B9 4K 2325,11.0,10.0,10.0,10.0,7.94,105,OK,gauge,,,
20260908-1432-AB12,2026-09-08T14:32:00,M. Francis,Acme Freight,42,ABC 123,1FUJGLDR5CSBB1234,512000,TRACTOR_3A,R2O,Michelin,XZE2,11R22.5,DOT B9 4K 2325,9.0,9.0,9.0,9.0,7.14,105,OK,gauge,,,
20260908-1432-AB12,2026-09-08T14:32:00,M. Francis,Acme Freight,42,ABC 123,1FUJGLDR5CSBB1234,512000,TRACTOR_3A,R2I,Michelin,XZE2,11R22.5,DOT B9 4K 2325,10.0,10.0,11.0,10.0,7.94,105,OK,gauge,,,
20260908-1432-AB12,2026-09-08T14:32:00,M. Francis,Acme Freight,42,ABC 123,1FUJGLDR5CSBB1234,512000,TRACTOR_3A,LRO,Michelin,XZE2,11R22.5,DOT B9 4K 2325,2.0,2.0,3.0,2.0,1.59,105,REPLACE,gauge,,,
20260908-1432-AB12,2026-09-08T14:32:00,M. Francis,Acme Freight,42,ABC 123,1FUJGLDR5CSBB1234,512000,TRACTOR_3A,LRI,Michelin,XZE2,11R22.5,DOT B9 4K 2325,12.0,12.0,12.0,12.0,9.52,105,OK,gauge,,,
20260908-1432-AB12,2026-09-08T14:32:00,M. Francis,Acme Freight,42,ABC 123,1FUJGLDR5CSBB1234,512000,TRACTOR_3A,RRO,Michelin,XZE2,11R22.5,DOT B9 4K 2325,4.0,4.0,4.0,4.0,3.17,105,WATCH,gauge,,,
20260908-1432-AB12,2026-09-08T14:32:00,M. Francis,Acme Freight,42,ABC 123,1FUJGLDR5CSBB1234,512000,TRACTOR_3A,RRI,Michelin,XZE2,11R22.5,DOT B9 4K 2325,11.0,11.0,11.0,11.0,8.73,105,OK,gauge,,,
